ufname;ufid;meso;citie
PI;22;Mesorregião do Sudoeste Piauiense;Ribeiro Gonçalves
PI;22;Mesorregião do Sudoeste Piauiense;Santa Filomena
PI;22;Mesorregião do Sudoeste Piauiense;Uruçuí
PI;22;Mesorregião do Sudoeste Piauiense;Antônio Almeida
PI;22;Mesorregião do Sudoeste Piauiense;Bertolínia
PI;22;Mesorregião do Sudoeste Piauiense;Colônia do Gurgueia
PI;22;Mesorregião do Sudoeste Piauiense;Eliseu Martins
PI;22;Mesorregião do Sudoeste Piauiense;Landri Sales
PI;22;Mesorregião do Sudoeste Piauiense;Manoel Emídio
PI;22;Mesorregião do Sudoeste Piauiense;Marcos Parente
PI;22;Mesorregião do Sudoeste Piauiense;Porto Alegre do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Sebastião Leal
PI;22;Mesorregião do Sudoeste Piauiense;Canavieira
PI;22;Mesorregião do Sudoeste Piauiense;Flores do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Floriano
PI;22;Mesorregião do Sudoeste Piauiense;Guadalupe
PI;22;Mesorregião do Sudoeste Piauiense;Itaueira
PI;22;Mesorregião do Sudoeste Piauiense;Jerumenha
PI;22;Mesorregião do Sudoeste Piauiense;Nazaré do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Pavussu
PI;22;Mesorregião do Sudoeste Piauiense;Rio Grande do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;São Francisco do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;São José do Peixe
PI;22;Mesorregião do Sudoeste Piauiense;São Miguel do Fidalgo
PI;22;Mesorregião do Sudoeste Piauiense;Alvorada do Gurgueia
PI;22;Mesorregião do Sudoeste Piauiense;Barreiras do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Bom Jesus
PI;22;Mesorregião do Sudoeste Piauiense;Cristino Castro
PI;22;Mesorregião do Sudoeste Piauiense;Currais
PI;22;Mesorregião do Sudoeste Piauiense;Gilbués
PI;22;Mesorregião do Sudoeste Piauiense;Monte Alegre do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Palmeira do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Redenção do Gurgueia
PI;22;Mesorregião do Sudoeste Piauiense;Santa Luz
PI;22;Mesorregião do Sudoeste Piauiense;São Gonçalo do Gurgueia
PI;22;Mesorregião do Sudoeste Piauiense;Anísio de Abreu
PI;22;Mesorregião do Sudoeste Piauiense;Bonfim do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Brejo do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Canto do Buriti
PI;22;Mesorregião do Sudoeste Piauiense;Caracol
PI;22;Mesorregião do Sudoeste Piauiense;Coronel José Dias
PI;22;Mesorregião do Sudoeste Piauiense;Dirceu Arcoverde
PI;22;Mesorregião do Sudoeste Piauiense;Dom Inocêncio
PI;22;Mesorregião do Sudoeste Piauiense;Fartura do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Guaribas
PI;22;Mesorregião do Sudoeste Piauiense;Jurema
PI;22;Mesorregião do Sudoeste Piauiense;Pajeú do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;São Braz do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;São Lourenço do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;São Raimundo Nonato
PI;22;Mesorregião do Sudoeste Piauiense;Tamboril do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Várzea Branca
PI;22;Mesorregião do Sudoeste Piauiense;Avelino Lopes
PI;22;Mesorregião do Sudoeste Piauiense;Corrente
PI;22;Mesorregião do Sudoeste Piauiense;Cristalândia do Piauí
PI;22;Mesorregião do Sudoeste Piauiense;Curimatá
PI;22;Mesorregião do Sudoeste Piauiense;Júlio Borges
PI;22;Mesorregião do Sudoeste Piauiense;Morro Cabeça no Tempo
PI;22;Mesorregião do Sudoeste Piauiense;Parnaguá
PI;22;Mesorregião do Sudoeste Piauiense;Riacho Frio
PI;22;Mesorregião do Sudoeste Piauiense;Sebastião Barros
PI;22;Mesorregião do Sudeste Piauiense;Aroeiras do Itaim
PI;22;Mesorregião do Sudeste Piauiense;Bocaina
PI;22;Mesorregião do Sudeste Piauiense;Cajazeiras do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Colônia do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Dom Expedito Lopes
PI;22;Mesorregião do Sudeste Piauiense;Geminiano
PI;22;Mesorregião do Sudeste Piauiense;Ipiranga do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Oeiras
PI;22;Mesorregião do Sudeste Piauiense;Paquetá
PI;22;Mesorregião do Sudeste Piauiense;Picos
PI;22;Mesorregião do Sudeste Piauiense;Santa Cruz do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Santa Rosa do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Santana do Piauí
PI;22;Mesorregião do Sudeste Piauiense;São João da Canabrava
PI;22;Mesorregião do Sudeste Piauiense;São João da Varjota
PI;22;Mesorregião do Sudeste Piauiense;São José do Piauí
PI;22;Mesorregião do Sudeste Piauiense;São Luís do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Sussuapara
PI;22;Mesorregião do Sudeste Piauiense;Tanque do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Valença do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Alagoinha do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Alegrete do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Francisco Santos
PI;22;Mesorregião do Sudeste Piauiense;Monsenhor Hipólito
PI;22;Mesorregião do Sudeste Piauiense;Pio IX
PI;22;Mesorregião do Sudeste Piauiense;Santo Antônio de Lisboa
PI;22;Mesorregião do Sudeste Piauiense;São Julião
PI;22;Mesorregião do Sudeste Piauiense;Acauã
PI;22;Mesorregião do Sudeste Piauiense;Bela Vista do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Belém do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Betânia do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Caldeirão Grande do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Campinas do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Campo Alegre do Fidalgo
PI;22;Mesorregião do Sudeste Piauiense;Campo Grande do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Capitão Gervásio Oliveira
PI;22;Mesorregião do Sudeste Piauiense;Caridade do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Conceição do Canindé
PI;22;Mesorregião do Sudeste Piauiense;Curral Novo do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Floresta do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Francisco Macedo
PI;22;Mesorregião do Sudeste Piauiense;Fronteiras
PI;22;Mesorregião do Sudeste Piauiense;Isaías Coelho
PI;22;Mesorregião do Sudeste Piauiense;Itainópolis
PI;22;Mesorregião do Sudeste Piauiense;Jacobina do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Jaicós
PI;22;Mesorregião do Sudeste Piauiense;João Costa
PI;22;Mesorregião do Sudeste Piauiense;Lagoa do Barro do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Marcolândia
PI;22;Mesorregião do Sudeste Piauiense;Massapê do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Nova Santa Rita
PI;22;Mesorregião do Sudeste Piauiense;Padre Marcos
PI;22;Mesorregião do Sudeste Piauiense;Paes Landim
PI;22;Mesorregião do Sudeste Piauiense;Patos do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Paulistana
PI;22;Mesorregião do Sudeste Piauiense;Pedro Laurentino
PI;22;Mesorregião do Sudeste Piauiense;Queimada Nova
PI;22;Mesorregião do Sudeste Piauiense;Ribeira do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Santo Inácio do Piauí
PI;22;Mesorregião do Sudeste Piauiense;São Francisco de Assis do Piauí
PI;22;Mesorregião do Sudeste Piauiense;São João do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Simões
PI;22;Mesorregião do Sudeste Piauiense;Simplício Mendes
PI;22;Mesorregião do Sudeste Piauiense;Socorro do Piauí
PI;22;Mesorregião do Sudeste Piauiense;Vera Mendes
PI;22;Mesorregião do Sudeste Piauiense;Vila Nova do Piauí
