ufname;ufid;meso;citie
AL;27;Mesorregião do Leste Alagoano;Santa Luzia do Norte
AL;27;Mesorregião do Leste Alagoano;Satuba
AL;27;Mesorregião do Leste Alagoano;Anadia
AL;27;Mesorregião do Leste Alagoano;Boca da Mata
AL;27;Mesorregião do Leste Alagoano;Campo Alegre
AL;27;Mesorregião do Leste Alagoano;Coruripe
AL;27;Mesorregião do Leste Alagoano;Jequiá da Praia
AL;27;Mesorregião do Leste Alagoano;Junqueiro
AL;27;Mesorregião do Leste Alagoano;Roteiro
AL;27;Mesorregião do Leste Alagoano;São Miguel dos Campos
AL;27;Mesorregião do Leste Alagoano;Teotônio Vilela
AL;27;Mesorregião do Leste Alagoano;Feliz Deserto
AL;27;Mesorregião do Leste Alagoano;Igreja Nova
AL;27;Mesorregião do Leste Alagoano;Penedo
AL;27;Mesorregião do Leste Alagoano;Piaçabuçu
AL;27;Mesorregião do Leste Alagoano;Porto Real do Colégio
AM;13;Mesorregião do Norte Amazonense;Barcelos
AM;13;Mesorregião do Norte Amazonense;Novo Airão
AM;13;Mesorregião do Norte Amazonense;Santa Isabel do Rio Negro
AM;13;Mesorregião do Norte Amazonense;São Gabriel da Cachoeira
AM;13;Mesorregião do Norte Amazonense;Japurá
AM;13;Mesorregião do Norte Amazonense;Maraã
AM;13;Mesorregião do Sudoeste Amazonense;Amaturá
AM;13;Mesorregião do Sudoeste Amazonense;Atalaia do Norte
AM;13;Mesorregião do Sudoeste Amazonense;Benjamin Constant
AM;13;Mesorregião do Sudoeste Amazonense;Fonte Boa
AM;13;Mesorregião do Sudoeste Amazonense;Jutaí
AM;13;Mesorregião do Sudoeste Amazonense;Santo Antônio do Içá
AM;13;Mesorregião do Sudoeste Amazonense;São Paulo de Olivença
AM;13;Mesorregião do Sudoeste Amazonense;Tabatinga
AM;13;Mesorregião do Sudoeste Amazonense;Tonantins
AM;13;Mesorregião do Sudoeste Amazonense;Carauari
AM;13;Mesorregião do Sudoeste Amazonense;Eirunepé
AM;13;Mesorregião do Sudoeste Amazonense;Envira
AM;13;Mesorregião do Sudoeste Amazonense;Guajará
AM;13;Mesorregião do Sudoeste Amazonense;Ipixuna
AM;13;Mesorregião do Sudoeste Amazonense;Itamarati
AM;13;Mesorregião do Sudoeste Amazonense;Juruá
AM;13;Mesorregião do Centro Amazonense;Alvarães
AM;13;Mesorregião do Centro Amazonense;Tefé
AM;13;Mesorregião do Centro Amazonense;Uarini
AM;13;Mesorregião do Centro Amazonense;Anamã
AM;13;Mesorregião do Centro Amazonense;Anori
AM;13;Mesorregião do Centro Amazonense;Beruri
AM;13;Mesorregião do Centro Amazonense;Caapiranga
AM;13;Mesorregião do Centro Amazonense;Coari
AM;13;Mesorregião do Centro Amazonense;Codajás
AM;13;Mesorregião do Centro Amazonense;Autazes
AM;13;Mesorregião do Centro Amazonense;Careiro
AM;13;Mesorregião do Centro Amazonense;Careiro da Várzea
AM;13;Mesorregião do Centro Amazonense;Iranduba
AM;13;Mesorregião do Centro Amazonense;Manacapuru
AM;13;Mesorregião do Centro Amazonense;Manaquiri
AM;13;Mesorregião do Centro Amazonense;Manaus
AM;13;Mesorregião do Centro Amazonense;Presidente Figueiredo
AM;13;Mesorregião do Centro Amazonense;Rio Preto da Eva
AM;13;Mesorregião do Centro Amazonense;Itacoatiara
AM;13;Mesorregião do Centro Amazonense;Itapiranga
AM;13;Mesorregião do Centro Amazonense;Nova Olinda do Norte
AM;13;Mesorregião do Centro Amazonense;Silves
AM;13;Mesorregião do Centro Amazonense;Urucurituba
AM;13;Mesorregião do Centro Amazonense;Barreirinha
AM;13;Mesorregião do Centro Amazonense;Boa Vista do Ramos
AM;13;Mesorregião do Centro Amazonense;Maués
AM;13;Mesorregião do Centro Amazonense;Nhamundá
AM;13;Mesorregião do Centro Amazonense;Parintins
AM;13;Mesorregião do Centro Amazonense;São Sebastião do Uatumã
AM;13;Mesorregião do Centro Amazonense;Urucará
AM;13;Mesorregião do Sul Amazonense;Boca do Acre
AM;13;Mesorregião do Sul Amazonense;Pauini
AM;13;Mesorregião do Sul Amazonense;Canutama
AM;13;Mesorregião do Sul Amazonense;Lábrea
AM;13;Mesorregião do Sul Amazonense;Tapauá
AM;13;Mesorregião do Sul Amazonense;Apuí
AM;13;Mesorregião do Sul Amazonense;Borba
AM;13;Mesorregião do Sul Amazonense;Humaitá
AM;13;Mesorregião do Sul Amazonense;Manicoré
AM;13;Mesorregião do Sul Amazonense;Novo Aripuanã
AP;16;Mesorregião do Norte do Amapá;Calçoene
AP;16;Mesorregião do Norte do Amapá;Oiapoque
AP;16;Mesorregião do Norte do Amapá;Amapá
AP;16;Mesorregião do Norte do Amapá;Pracuúba
AP;16;Mesorregião do Norte do Amapá;Tartarugalzinho
AP;16;Mesorregião do Sul do Amapá;Cutias
AP;16;Mesorregião do Sul do Amapá;Ferreira Gomes
AP;16;Mesorregião do Sul do Amapá;Itaubal
AP;16;Mesorregião do Sul do Amapá;Macapá
AP;16;Mesorregião do Sul do Amapá;Pedra Branca do Amapari
AP;16;Mesorregião do Sul do Amapá;Porto Grande
AP;16;Mesorregião do Sul do Amapá;Santana
AP;16;Mesorregião do Sul do Amapá;Serra do Navio
AP;16;Mesorregião do Sul do Amapá;Laranjal do Jari
AP;16;Mesorregião do Sul do Amapá;Mazagão
AP;16;Mesorregião do Sul do Amapá;Vitória do Jari
BA;29;Mesorregião do Extremo Oeste Baiano;Baianópolis
BA;29;Mesorregião do Extremo Oeste Baiano;Barreiras
BA;29;Mesorregião do Extremo Oeste Baiano;Catolândia
BA;29;Mesorregião do Extremo Oeste Baiano;Formosa do Rio Preto
BA;29;Mesorregião do Extremo Oeste Baiano;Luís Eduardo Magalhães
